1
//Type	Index	Price
9	133	3620
9	135	5610
9	136	6610
9	138	3165
9	139	5110
9	140	3310
9	141	5560
9	142	3210
9	143	4710
9	144	4825
9	145	3335
9	146	5510
9	147	4470
9	148	4225
9	149	4625
9	150	4920
9	151	4820
9	152	3160
9	153	4435
9	154	3435
9	155	3870
9	156	3285
9	157	4910
9	158	3415
9	159	3710
9	160	3330
9	161	5060
9	162	3230
9	163	3520
9	164	3180
9	165	4820
9	166	5310
9	167	3025
9	168	5320
9	169	3120
9	170	3610
9	171	2635
9	172	4810
9	173	3975
9	174	3620
9	175	4215
9	176	3470
9	177	5810
9	178	4025
9	179	4420
9	180	4370
9	181	4010
9	182	3665
9	183	3220
9	184	4020
9	185	3745
9	186	3365
9	187	4060
9	188	2760
9	189	4070
9	190	4370
9	191	6020
9	192	3120
9	193	3825
9	194	4525
9	195	4420
9	196	3585
9	197	3385
9	198	3110
9	199	1135
9	200	1235
9	201	1710
9	202	2135
9	203	4425
10	0	235
10	1	720
10	2	130
10	3	580
10	4	280
10	5	135
10	6	385
10	7	430
10	8	470
10	9	620
10	10	125
10	11	225
10	12	325
10	13	475
10	14	775
10	15	1010
10	16	1110
10	17	1870
10	18	1040
10	19	1500
10	20	1710
10	21	2420
10	22	1540
10	23	2260
10	24	1950
10	25	615
10	26	915
10	27	1065
10	28	1465
10	29	3020
10	30	2240
10	31	2550
10	32	2760
10	33	2015
10	34	910
10	35	770
10	36	1125
10	37	1360
10	38	1265
10	39	470
10	40	670
10	41	970
10	42	1340
10	43	1740
10	44	2290
10	45	2810
10	46	2110
10	47	2460
10	48	2010
10	49	2175
10	50	1825
10	51	1715
10	52	1570
10	53	4060
10	100	1870
10	104	1970
10	107	2120
10	111	2370
10	101	2560
10	103	2610
10	106	2760
10	108	2910
10	102	1715
10	105	1865
10	109	2065
10	110	2415
10	114	2620
10	119	3160
10	112	2565
10	118	2815
10	113	2120
10	120	2220
10	137	2370
10	115	1725
10	116	1875
10	117	1925
10	121	1975
10	134	2025
10	122	2920
10	123	2410
10	124	3215
10	125	2620
10	126	3215
10	127	3660
10	128	5760
10	129	3020
10	130	3710
10	131	3060
10	132	2970
10	133	2520
10	135	3860
10	136	4560
10	138	2165
10	139	3510
10	140	2260
10	141	3810
10	142	2210
10	143	3260
10	144	3325
10	145	2285
10	146	3810
10	147	3070
10	148	2925
10	149	3175
10	150	3420
10	151	3320
10	152	2160
10	153	3085
10	154	2385
10	155	2670
10	156	2285
10	157	3410
10	158	2365
10	159	2560
10	160	2330
10	161	3460
10	162	2230
10	163	2420
10	164	2180
10	165	3320
10	166	3660
10	167	2075
10	168	3670
10	169	2170
10	170	2510
10	171	1835
10	172	3310
10	173	2725
10	174	2520
10	175	2915
10	176	2370
10	177	4010
10	178	2775
10	179	3070
10	180	3020
10	181	2760
10	182	2515
10	183	2220
10	184	2770
10	185	2595
10	186	2315
10	187	2810
10	188	1910
10	189	2820
10	190	3020
10	191	4120
10	192	2120
10	193	2625
10	194	3125
10	195	3070
10	196	2485
10	197	2335
10	198	2110
10	199	785
10	200	835
10	201	1160
10	202	1485
10	203	3075
11	0	235
11	1	770
11	2	180
11	3	630
11	4	330
11	5	135
11	6	435
11	7	480
11	8	520
11	9	620
11	10	125
11	11	225
11	12	375
11	13	525
11	14	825
11	15	1110
11	16	1210
11	17	2020
11	18	1140
11	19	1550
11	20	1860
11	21	2520
11	22	1590
11	23	2510
11	24	2050
11	25	665
11	26	1015
11	27	1265
11	28	1665
11	29	3170
11	30	2390
11	31	2700
11	32	3060
11	33	2215
11	34	960
11	35	870
11	36	1175
11	37	1460
11	38	1465
11	39	570
11	40	770
11	41	1070
11	42	1440
11	43	1940
11	44	2540
11	45	2860
11	46	2260
11	47	2710
11	48	2210
11	49	2125
11	50	1775
11	51	1915
11	52	1720
11	53	4060
11	100	2220
11	104	2320
11	107	2470
11	111	2570
11	101	2710
11	103	2860
11	106	3010
11	108	3110
11	102	1915
11	105	2015
11	109	2115
11	110	2165
11	114	2720
11	119	3260
11	112	2315
11	118	2415
11	113	2320
11	120	2420
11	137	2620
11	115	1525
11	116	1625
11	117	1825
11	121	1925
11	134	2075
11	122	3170
11	123	2660
11	124	3515
11	125	2820
11	126	3515
11	127	4010
11	128	3460
11	129	3270
11	130	4060
11	131	3310
11	132	3270
11	133	2720
11	135	4210
11	136	4960
11	138	2365
11	139	3810
11	140	2460
11	141	4160
11	142	2410
11	143	3560
11	144	3625
11	145	2485
11	146	4160
11	147	3370
11	148	3175
11	149	3475
11	150	3720
11	151	3620
11	152	2360
11	153	3335
11	154	2585
11	155	2920
11	156	2485
11	157	3710
11	158	2565
11	159	2810
11	160	2530
11	161	3810
11	162	2430
11	163	2620
11	164	2380
11	165	3620
11	166	4010
11	167	2275
11	168	4020
11	169	2370
11	170	2710
11	171	1985
11	172	3610
11	173	2975
11	174	2720
11	175	3165
11	176	2620
11	177	4360
11	178	3025
11	179	3320
11	180	3270
11	181	3010
11	182	2765
11	183	2420
11	184	3020
11	185	2845
11	186	2515
11	187	3060
11	188	2060
11	189	3070
11	190	3270
11	191	4520
11	192	2320
11	193	2875
11	194	3425
11	195	3320
11	196	2685
11	197	2535
11	198	2310
11	199	835
11	200	935
11	201	1260
11	202	1585
11	203	3325
end
